videoId,textDisplay,cleanedData,likeCount,publishedAt,updatedAt,commentId
wUn05hdkhjM,Just release the movie now 😡I can&#39;t wait anymore ☺️😕,just release the movie now i cant wait anymore ,2,2017-03-04T04:19:40Z,2017-03-04T04:19:40Z,Uggj0FxrHo_F6HgCoAEC
wUn05hdkhjM,whats the song groot starts,whats the song groot starts,0,2017-03-04T02:45:59Z,2017-03-04T02:45:59Z,UghjthQuc6_6hXgCoAEC
wUn05hdkhjM,yee,yee,0,2017-03-04T02:30:31Z,2017-03-04T02:30:31Z,UggrAxBYHCubMXgCoAEC
wUn05hdkhjM,the song is perfect,the song is perfect,0,2017-03-03T23:43:39Z,2017-03-03T23:43:39Z,UggjNuGLRM3EfXgCoAEC
wUn05hdkhjM,I hate how people think Kurt Russell playing Peter&#39;s dad is a spoiler when they announced it over half a year ago lol,i hate how people think kurt russell playing peters dad is a spoiler when they announced it over half a year ago lol,0,2017-03-03T22:35:27Z,2017-03-03T22:35:27Z,Ughw7dsJiGi6qXgCoAEC
wUn05hdkhjM,"You know, they told me you were conceited douchebags, but that isn&#39;t true at <i>all</i>.",you know they told me you were conceited douchebags but that isnt true at _all_,0,2017-03-03T22:21:40Z,2017-03-03T22:21:40Z,UggBhpPb0e_5o3gCoAEC
wUn05hdkhjM,"<a href=""http://www.youtube.com/watch?v=wUn05hdkhjM&amp;t=2m07s"">2:07</a> Ego! He&#39;s returning!",207 ego hes returning,0,2017-03-03T20:53:14Z,2017-03-03T20:53:14Z,Ugh7CkaxfXoZe3gCoAEC
wUn05hdkhjM,whats the song?,whats the song,0,2017-03-03T19:50:33Z,2017-03-03T19:50:33Z,UggmBAKnXezYCXgCoAEC
wUn05hdkhjM,groot looks like sackboy from little big planet.,groot looks like sackboy from little big planet,0,2017-03-03T19:06:45Z,2017-03-03T19:06:45Z,UggJuP6_KPFzq3gCoAEC
wUn05hdkhjM,what is the song,what is the song,0,2017-03-03T17:27:48Z,2017-03-03T17:27:48Z,UggHKZ5CJk3nUngCoAEC
wUn05hdkhjM,"<a href=""http://www.youtube.com/watch?v=wUn05hdkhjM&amp;t=1m25s"">1:25</a> When you&#39;re in deep shit but your friend still wants to hang out.",125 when youre in deep shit but your friend still wants to hang out,1,2017-03-03T17:27:39Z,2017-03-03T17:27:39Z,UghX9zSkse1R03gCoAEC
wUn05hdkhjM,&quot; DIE ! Spaceship ! &quot; :D, die  spaceship   d,0,2017-03-03T17:25:38Z,2017-03-03T17:25:38Z,UggF0OekyLzfUXgCoAEC
wUn05hdkhjM,"Awesome! The only enjoyable movie series from Marvel Studios, IMO.",awesome the only enjoyable movie series from marvel studios imo,0,2017-03-03T09:13:04Z,2017-03-03T09:13:04Z,Ugh3Oi0q-S_2ZngCoAEC
wUn05hdkhjM,Best visual effects ever??,best visual effects ever,0,2017-03-03T09:05:53Z,2017-03-03T09:05:53Z,Ugjp6QxlQkPT83gCoAEC
wUn05hdkhjM,THE CHAIN THO,the chain tho,0,2017-03-03T08:19:07Z,2017-03-03T08:19:07Z,UgjVFX2pAcJ2XngCoAEC
wUn05hdkhjM,My gosh marvel! You pulled of a Batman v Superman at the end,my gosh marvel you pulled of a batman v superman at the end,1,2017-03-03T07:40:54Z,2017-03-03T07:40:54Z,Ugg0HlHj6SAolHgCoAEC
